"last_name","frequency"
"Baba","226"
"Coorg","223"
"Gelosh","223"
"Farris","222"
"Sudbeck","222"
"Adachi","221"
"Osgood","220"
"Masada","218"
"Mandell","218"
"Neiman","218"
"Boudaillier","217"
"Wendorf","217"
"Solares","216"
"Cummings","216"
"Mahnke","216"
"Pettis","216"
"Collette","215"
"Maksimenko","215"
"Kulisch","215"
"Birjandi","215"
"Emmart","215"
"Pokrovskii","214"
"Boguraev","214"
"Rosaz","214"
"Scallan","214"
"Siksek","213"
"Wolniewicz","213"
"Morrey","213"
"Stifter","213"
"Peek","212"
"Herber","212"
"Siepmann","212"
"Garrabrants","212"
"Swen","212"
"Taubman","212"
"Rabehasaina","212"
"Rajcani","212"
"Pramanik","212"
"Ventosa","211"
"Kitsuregawa","211"
"Cangellaris","211"
"Barriga","211"
"Kamber","211"
"Ghemri","211"
"Gente","211"
"Asser","211"
"Driscoll","210"
"Schaaf","210"
"Luce","210"
"Redmiles","210"
"Bolsens","210"
"Gewali","209"
"Flowers","209"
"Khasidashvili","209"
"Chenney","209"
"Malabarba","209"
"Zuberek","209"
"Serra","209"
"Gerlach","209"
"Lunt","209"
"Lamparter","209"
"Gecsei","208"
"Aloia","208"
"Panienski","208"
"Cesareni","208"
"Jenevein","208"
"Lowrie","208"
"Akazan","207"
"Lamba","207"
"Angelopoulos","207"
"Garnier","207"
"Braunmuhl","206"
"Gaughan","206"
"Perng","206"
"Foote","206"
"Chimia","206"
"Duclos","206"
"Hebert","206"
"Bondorf","206"
"Lanphier","205"
"Emden","205"
"Aamodt","205"
"Onuegbe","205"
"Shimshoni","205"
"Siprelle","205"
"Marakhovsky","205"
"Garnham","205"
"Ecklund","205"
"Ponthieu","205"
"Matzov","205"
"DeMori","205"
"Encarnacion","205"
"Geffroy","205"
"Panangaden","205"
"Bennet","205"
"Shiratori","204"
"Linares","204"
"Coors","204"
"Shrader","204"
"Swick","204"
"Luders","204"
"Desikan","204"
"Malinowski","204"
"Whitcomb","204"
"Argence","204"
"Alpin","204"
"Riexinger","204"
"Legleitner","204"
"Conta","203"
"Ghandeharizadeh","203"
